Serial Number 	Name of Employee (First, Last)	DOB (MM/DD/YYYY)	EmployeeID              Rate/Hour
947               Robert Wick                    1/12/1997                    Thd4776130               5.0
948               Rupert Pill                    11/25/1985                    Ydy1387116               1.5
949               Robert Connor                    10/23/1997                    Eqf189381               9.0
950               Jick Rogerdo                    5/14/1979                    Wzf3428104               6.5
951               Jill Simpson                    4/12/1998                    Ied2032117               5.5
952               Bart Pack                    1/20/1986                    Fzo386919               6.0
953               Jick Posh                    11/3/1983                    Waf1085125               5.75
954               Jick Pill                    12/21/1967                    Xsf174136               6.5
955               Jane Pill                    10/9/1992                    Bhd289141               12.0
956               Robert Smith                    8/25/1968                    Pex4591127               2.75
957               Jick Smoth                    9/24/1970                    Arv455139               1.75
958               Josh Posh                    9/29/1984                    Qdz2644143               6.0
959               Josh Connor                    3/18/1975                    Tfy4114121               3.0
960               Rupert Pill                    12/1/1976                    Jop1168151               7.5
961               Jill Smith                    12/16/1986                    Wry67239               5.75
962               Rupert Posh                    3/7/1972                    Zin283419               11.75
963               Evert Simpson                    8/28/1981                    Etn134968               4.75
964               Homer Posh                    12/1/1991                    Gfe318246               3.5
965               Evert Smoth                    4/10/1966                    Sbc449760               11.0
966               Robert Pack                    10/8/1960                    Juk43856               7.25
967               Jick Smith                    2/24/1985                    Efl454241               2.75
968               Robert Simpson                    9/4/1994                    Zuz4426103               10.25
969               Josh Jill                    2/8/1966                    Fbl84960               7.5
970               Jack Connor                    12/13/1985                    Dvh21637               9.75
971               Rupert Smoth                    5/3/1994                    Cod14375               9.75
972               Homer Smoth                    8/16/1996                    Rsd435999               3.0
973               Jill Smoth                    3/19/1969                    Fza2191129               4.75
974               Jane Smythe                    8/3/1960                    Fry5043139               9.5
975               Josh Posh                    10/25/1961                    Wym276522               5.25
976               John Simpson                    10/14/1982                    Xot892122               1.5
977               Josh Pill                    3/17/1961                    Mlw468107               2.5
978               Homer Wick                    7/7/1962                    Jsn86576               8.5
979               Robert Rogerdo                    5/9/1966                    Nwr50666               4.25
980               Jill Rogerdo                    11/23/1962                    Geb301687               1.75
981               Josh Simpson                    2/9/1962                    Nwj346104               10.75
982               John Posh                    12/27/1976                    Axd198641               11.5
983               Jill Pill                    2/12/1974                    Nbb157189               9.0
984               Jane Pack                    1/16/1965                    Uji1931125               6.0
985               Jill Jill                    6/2/1969                    Dro2210144               12.25
986               Rupert Pill                    11/29/1974                    Kgw32958               6.0
987               Rupert Jill                    11/25/1983                    Hrd497996               4.5
988               Jill Jill                    11/28/1989                    Kdr44824               12.0
989               Jick Smith                    11/11/1977                    Jyx306874               11.25
990               Jane Smythe                    4/19/1991                    Dob3637108               4.0
991               Bart Jill                    5/10/1994                    Ltu199584               7.25
992               Jill Rogerdo                    7/17/1997                    Wln19862               8.5
993               Josh Posh                    9/15/1991                    Jqo33517               7.75
994               Robert Posh                    8/4/1974                    Pvu2126141               5.5
995               Jill Pack                    6/23/1998                    Lgr4326146               11.5
996               Robert Smythe                    6/30/1996                    Mve332113               10.0
997               John Simpson                    5/26/1968                    Ikg201719               3.75
998               Robert Rogerdo                    7/2/1994                    Cbr366114               7.25
999               Jick Posh                    9/9/1969                    Nmf16027               12.0
